#Observation	PValue	QValue
K03269	0.00274168054434296	0.0107533864801618
K18653	0.0669089345195272	0.141509748371966
K12687	3.81120141939143e-06	0.000607648719965598
K18657	0.000384313360153022	0.00281797357971815
K09912	3.50098035530707e-05	0.00101802681049806
K09823	0.000238211950462142	0.00213886603139817
K03573	0.00090793164090883	0.0046038645257638
K15547	0.000128150332571809	0.00165167934967868
K08277	0.000198944532797714	0.00197748509355284
K02450	0.00141175970552938	0.00641147962609284
K09934	0.00496140554245862	0.0172060733083493
K04030	0.0010463129970276	0.00510717111013186
K02053	0.000215902841144727	0.00205835461473372
K01483	8.33846617302221e-05	0.00135953625418233
K02572	0.000920554330289369	0.00464473944053833
K03329	0.00129250019870382	0.00598736898234865
K02839	0.00101509757035696	0.00499793204128363
K19725	0.483220965899987	0.619354969133141
K04032	0.000568473088553483	0.0034260398824003
K01720	0.0010052583653346	0.00496388975549799
K12291	0.00115628135763256	0.00552735060254213
K03199	0.188261728006506	0.318418756571802
K07279	0.000791843469823133	0.00422679484312309
K02844	0.000334443315395549	0.00261946295181344
K12504	0.750481488966773	0.83131010886202
K19353	5.8254236401785e-05	0.00126647642259712
K12678	0.0237801067147789	0.0608214404532623
K21908	0.00084117992512411	0.00441034706365277
K00098	0.000431654485645379	0.00292616908977447
K02460	0.000866254933868796	0.0044727219759899
K03533	0.00294215314868422	0.0113216188057078
K04015	0.000649632692139473	0.00372441445459691
K08354	0.0018528463728967	0.00784762136806749
K02848	0.00157359685515047	0.00697230773678942
K14062	0.00023415003037983	0.00211357766784347
K18919	1.88352729050062e-05	0.000833206355846039
K21905	0.000294968359017236	0.0024026942652108
K21901	0.000242061155745001	0.00216318012429296
K18398	0.15149544649013	0.269484038463051
K11139	0.000364621944498965	0.00273845727128991
K09980	0.000144600249402449	0.00176537139018674
K16326	0.0012538565872488	0.00585631549145287
K16321	0.00238813721408646	0.00957323350938124
K07702	0.00161456082692166	0.00706162299815994
K18840	2.61159563749054e-05	0.00092800744327307
K19431	0.000599753479094174	0.00352580249661482
K22111	4.54994518545091e-05	0.00114711734832433
K12529	0.000177275778662555	0.00189981246752037
K18831	0.000105680354362139	0.00153719624016471
K21740	0.00229326576913088	0.0092658857386074
K06887	2.56997095965188e-05	0.00092800744327307
K04018	0.000779880246474458	0.004201450089737
K04013	0.000618117980808668	0.00360050187676994
K12289	0.000201327102996144	0.00198792211007773
K02568	0.00433053896598108	0.0154173243886781
K02569	0.000770747469756293	0.00416105553396531
K09978	0.00518428422979013	0.0178091707246029
K03618	0.00637715291332751	0.0212058037111368
K02850	0.0034937870309013	0.0129926002734248
K07357	0.000502745153263595	0.00320315307874188
K08989	0.00464263912839659	0.0162668106005967
K01355	0.0294849972170498	0.0727268027286824
K22014	0.000465314776839131	0.00303786537953847
K02461	0.000350519211602076	0.00269560922396702
K06132	9.92219030085603e-05	0.00147977808362919
K07141	0.0016024081708429	0.00703263792910449
K07314	0.000184144706631949	0.00192106701119519
K03757	0.000274220193823193	0.00231398568562114
K03755	0.000188585262581848	0.00192969633274866
K21976	5.46252726973863e-05	0.00122762622339441
K15735	0.000101031944023951	0.00149039141046781
K07471	0.00373326115082023	0.0136990245241777
K21039	0.0205800573757191	0.0542303685816697
K21637	0.000358647545967396	0.00272071581217233
K11472	0.00375373631362261	0.0137291339662586
K11473	0.000266205314890837	0.00227391150689471
K07821	0.00063188364217908	0.00365559047992465
K03532	0.000751819280958808	0.00410237080317395
K16140	0.000598912568151554	0.00352580249661482
K12516	0.000189504023213993	0.00192969633274866
K04064	0.000120168951112058	0.00162432838678096
K09794	4.1161378013795e-05	0.00109748190760691
K10975	0.000249775001402222	0.00219242160713571
K11477	0.00453052301050116	0.0159860075325387
K12944	0.000106516470274895	0.0015420915983623
K07077	0.789896702621084	0.859082271532565
K18922	0.000158277112608387	0.00181483959524616
K11643	0.878095208093818	0.92061003199733
K18015	0.0184558904042068	0.0495041823223482
K18424	0.326312957255563	0.474239013813323
K11708	0.0775376864350149	0.159686230437161
K15664	0.242508452520033	0.384401498809408
K12982	0.160852652650162	0.281992877101305
K10353	2.7083354805506e-06	0.000495777934786343
K17817	NA	NA
K15542	NA	NA
K18030	NA	NA
K02347	NA	NA
K00988	NA	NA
K00984	NA	NA
K05602	NA	NA
K01569	NA	NA
K09525	NA	NA
K01565	NA	NA
K19881	NA	NA
K16965	NA	NA
