observation	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample40	Sample41	Sample42	Sample44	Sample45	Sample46	Sample47	Sample48	Sample49	Sample50	Sample51	Sample52	Sample53	Sample54	Sample55	Sample56	Sample57	Sample58	Sample59	Sample60	Sample61	Sample62	Sample63	Sample64	Sample65	Sample66	Sample67	Sample68	Sample69	Sample70	Sample71	Sample72	Sample73	Sample74	Sample76	Sample77	Sample78	Sample79	Sample80	Sample81	Sample82	Sample83	Sample84	Sample85	Sample86	Sample87	Sample88	Sample89	Sample90	Sample91	Sample92	Sample93
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Campbellbacteria	25	20	14	31	22	9	19	17	24	41	16	47	13	34	32	32	24	9	42	20	6	10	11	14	7	5	14	9	6	17	9	8	8	20	13	8	4	20	14	8	11	2	18	6	9	20	19	9	15	16	13	11	14	30	20	8	7	22	17	5	25	9	4	19	19	11	15	15	26	10
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Woesebacteria	23	5	3	17	21	20	39	42	17	20	15	34	13	51	28	20	12	17	13	15	3	8	20	11	6	16	17	3	3	21	10	8	17	23	17	20	10	29	28	15	19	14	15	14	16	13	21	6	25	20	25	23	14	45	6	14	20	26	27	9	40	21	6	21	41	8	49	13	44	17
sk_Bacteria;k__Bacteria incertae sedis;p__Actinobacteria	123829	73683	45273	183233	84816	16642	105182	64717	114876	82292	132878	119493	39357	153715	150726	140028	107884	39623	97300	107320	101239	263531	371158	101525	45042	50119	73502	56218	76482	88616	22260	50800	80982	46412	132300	114106	39829	73039	72005	42128	34439	62004	143507	38320	46954	180200	21019	142554	74224	161638	100663	69855	46075	80785	106245	31342	62387	142737	59659	179750	117375	119691	181265	168239	132779	112676	61123	28878	405331	50248
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Melainabacteria	411	267	89	178	288	285	1357	4376	158	206	93	6979	177	8494	495	5494	2683	100	231	302	586	1945	250	435	868	832	2161	426	2131	507	1189	1135	1346	445	5126	3789	4304	2038	549	100	24452	1098	2486	3019	737	616	56	3473	852	719	2457	1437	1099	10570	581	68	14887	1683	841	277	368	4911	97	3839	1038	567	808	54	2490	2100
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Amesbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Curtissbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Elusimicrobia	177	125	93	220	138	70	196	235	322	322	276	356	72	286	360	248	211	89	156	120	96	117	199	168	72	109	112	77	76	158	62	107	118	97	109	100	87	161	137	59	151	49	144	105	113	131	59	116	151	181	96	192	80	265	83	61	125	230	113	67	237	160	145	208	305	118	165	64	388	82
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Parcubacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk_Bacteria;k__Bacteria incertae sedis;p__Aquificae	764	439	623	727	562	378	662	595	738	771	617	1261	367	720	921	705	515	694	273	548	235	335	492	549	215	318	378	260	186	486	207	317	470	393	390	444	325	561	491	258	416	157	418	349	307	592	386	431	555	632	233	408	390	985	310	278	445	763	351	437	809	419	339	680	892	469	458	397	1315	298
sk_Bacteria;k__Bacteria incertae sedis;p__Candidatus Falkowbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
