Gene	A.1	A.2	A.3	B.1	B.2	B.3	C.1	C.2	C.3	D.1	D.2	D.3	E.1	E.2	E.3
Dido1	3737	5486	4353	7665	6050	4429	10929	12644	10461	4658	5271	4601	2924	6480	5631
Diexf	3057	1535	1629	1878	714	592	2725	2957	2420	1441	524	515	1321	1106	1177
Dimt1	108	75	104	203	112	101	186	262	185	193	96	182	92	78	211
Dio1	7	1	0	16	4	1	0	0	0	0	0	0	0	0	0
Dio2	44	76	52	219	109	118	112	94	62	203	105	151	84	114	123
Dio3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Dio3os	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Dip2a	235	189	150	784	321	191	358	469	297	341	166	206	186	224	153
Dip2b	1640	1918	1629	4090	2387	1586	4009	4919	3770	2120	1766	1657	1519	1974	2186
Dip2c	262	359	296	410	506	411	774	873	688	359	258	279	154	337	292
Diras1	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0
Diras2	13	7	6	54	16	5	13	11	9	10	10	8	8	5	9
Dirc2	475	583	582	656	356	424	2702	3299	2476	1391	797	630	682	768	1264
Dis3	602	249	449	1485	883	654	1391	1785	1309	901	534	707	550	673	775
Dis3l	552	253	265	884	441	312	731	929	652	980	303	389	481	419	393
Dis3l2	491	399	491	954	649	578	1421	1475	1134	998	558	583	333	650	628
Disc1	1	0	1	2	0	2	0	0	3	0	0	0	1	1	0
Disp1	728	485	331	1000	300	258	737	866	620	915	293	337	566	387	320
Disp2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0
Dixdc1	12	0	0	22	4	0	3	2	2	6	1	2	22	4	0
Dkc1	790	258	437	3334	1343	816	1354	1867	1384	1651	531	998	656	561	777
Dkk1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0
Dkk2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
Dkk3	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0
Dkk4	1	0	0	2	0	0	1	0	0	0	0	0	1	0	0
Dkkl1	2	2	5	52	19	2	6	10	7	13	5	5	4	4	1
Dlat	745	454	504	1585	790	701	1193	1428	1040	1538	646	854	620	732	753
Dlc1	1	0	1	9	1	0	1	1	0	0	0	0	0	0	0
Dld	1348	402	634	3182	860	721	1830	2185	1709	2405	633	822	1019	625	873
Dlec1	0	0	1	2	0	0	0	0	1	2	0	0	0	1	1
Dleu2	238	259	319	329	408	373	928	1209	1026	620	550	505	292	456	475
Dleu7	24	10	26	68	43	32	66	61	59	65	22	37	9	16	27
Dlg1	1769	1701	1506	2933	1415	1283	4478	5423	3910	2613	1778	1461	1676	1638	2156
Dlg2	0	1	0	0	0	1	3	3	6	4	0	1	1	4	3
Dlg3	757	409	438	1391	511	448	961	1159	899	1306	470	495	622	634	674
Dlg4	695	231	230	1171	241	273	694	822	674	2079	309	357	914	448	529
Dlg5	1	0	1	4	1	0	0	1	1	1	0	0	3	1	1
Dlgap1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dlgap2	2	1	3	1	1	0	1	2	1	0	1	0	0	8	0
Dlgap3	2	2	1	2	0	1	0	3	2	3	1	0	0	1	3
Dlgap4	595	260	234	1230	392	331	498	635	434	1135	296	323	411	345	354
Dlgap5	1190	57	561	2551	1619	1183	3272	4345	3394	3522	664	1817	1158	1379	1226
Dlk1	1	0	0	1	0	1	0	2	0	0	0	0	2	0	0
Dlk2	1	0	1	3	0	4	0	4	0	1	0	0	1	0	0
Dll1	0	0	0	0	1	2	0	4	4	0	0	4	1	1	1
Dll3	0	0	1	1	2	0	2	1	2	7	3	0	2	3	0
Dll4	3	1	0	0	0	4	4	2	1	0	0	3	3	1	2
Dlst	3248	1241	1123	4719	1588	1379	3104	3959	2858	5004	1247	1714	2651	1472	1854
Dlx1	29	17	17	11	3	5	7	6	4	9	0	3	15	3	4
