ID	Control.1	Control.2	Control.3	Control.4	Model1.10	Model1.7	Model1.8	Model1.9	Model2.1	Model2.2	Model2.3	Model2.4
Cebpd	3.24634658673303	2.8964810573914	3.0048317470392	2.68191828252346	6.6735166413212	6.68564408510302	6.0300527967542	6.77317736664365	5.52431502842854	5.63540481238288	5.63914706842438	5.57797212835546
Xdh	1.80679326910988	1.24788836171105	2.2141620679017	1.76945202933988	5.25999369173081	5.36583283007327	4.93048362205934	5.7018632907308	1.82954518988724	2.12269295141563	2.26361130124188	2.06924105316602
Ccl4	-0.381825707094098	-0.747616497040754	0.851781465616458	0.0973575339402329	6.05635299338439	5.85872664404427	5.50626815716649	6.58746752813337	3.26624079843083	3.6014005942902	3.31757711376773	3.19790291676191
Znfx1	5.2691588951382	5.3695598259254	5.30491951560758	5.59324058857027	7.70169140795975	7.51873192464984	7.60114348864278	7.93679782425236	5.25478935872812	5.71618055852511	5.4351738308602	5.69959344682008
Zc3hav1	1.23468986047539	1.01368791621054	1.32974131454434	0.797611841919474	6.12047699893683	5.59793119975896	5.05372548074201	5.99476721449083	2.39396537027082	2.8692840464042	2.45058381899696	3.04309377623766
Gbp3	2.83001853699322	3.11962574350624	3.56161454778697	2.66301088015264	7.91530489373818	8.24658310195426	7.35156392324662	8.54108940949593	4.59235128500647	4.83778900674066	4.47413431230545	4.58719535089302
C3	1.23468986047539	0.809137370892784	1.6524466014038	1.73365510844699	6.39850917581521	6.49973968410307	5.62817767954559	6.28252051613783	5.05093291913747	5.35549265287249	5.19172065333001	5.52044245351093
Oas2	-0.381825707094098	0.809137370892784	0.913407564187699	0.65179253631531	5.48389853537291	5.23121456364344	5.38055273813669	6.12726167120508	2.31035285323556	2.44055422610878	1.99632029227731	2.77443084966162
B2m	7.15238414907276	7.5211338391581	7.76559804362588	7.84181659087889	12.3974078440827	11.8019184200293	11.367376331005	11.9173437352186	9.0425441778196	9.46321560548111	9.4730408150852	9.51829146631342
Apobec3	1.76999822308899	1.74570090012266	1.94579908213623	1.73365510844699	5.27617079809129	5.43746934267478	5.23736407991365	5.967830949004	3.11428387519686	3.45609848244234	3.2960506833261	3.61007050257319
Pnp	4.11525818510562	3.98267595662715	4.0472777768111	4.00229460256491	6.70572488850537	6.47198333775917	6.47282469440805	7.1052517250328	4.78276144771687	4.79659057315445	4.48368729364492	4.59185766966829
Samd9l	1.61264788981938	2.02336782865699	2.50182414964328	1.96737201432267	6.29292849892544	6.49495069310725	6.41471090123693	7.01865981101066	3.3206731920545	3.54723300639253	2.41107813226415	2.80687511078195
