	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2	Foxp3	Ccr2	Cxcr6	Tcf7	Ccr7	Cxcr5	Mki67	Ccnb2
cell101	23975	4392	KO	A	0.988529718456726	TRUE	0	0.883825968939548	-6.58188728671966	0	1.25350751472885	1.25350751472885	0	0	0	2.32005414025802	1.72064159461141
cell102	15219	3464	WT	A	1.58354688218674	TRUE	0	-0.236787606042141	-6.26220707279144	0	0.839041062453764	0	0	0	0	1.28876244970471	1.93349924510824
cell103	30982	4866	KO	A	1.17487573429733	TRUE	0	2.50745363159824	-6.36355404239593	0	1.51522583197035	0.498066238565288	0	0	0	2.05131585122046	1.96467485955272
cell104	15041	3362	KO	A	1.44272322318995	TRUE	0	-0.51857929305386	-5.70099882465301	1.09679338039857	0	0	0	0	0	2.19479863036042	1.29729855639162
cell105	20040	3814	KO	A	1.03792415169661	TRUE	0	1.37279767914463	-6.66647438388763	0	1.9441978198698	1.38479623349887	0	0	0	1.50252373982187	1.9441978198698
cell106	16380	3704	KO	A	0.671550671550672	TRUE	0	1.02639884873081	-6.0126581607431	0	0.797958094665053	1.04080725340246	0	0	0	1.77223763278726	1.77223763278726
cell107	13900	3314	KO	A	0.81294964028777	TRUE	0	0.13982291145969	-7.04769520145355	0	1.67082398781751	1.35524163777831	0	0	0	1.15002547994448	2.26520441256048
cell108	34341	5195	KO	A	0.463003407006202	TRUE	0	2.41361493988681	-6.6980829654306	0	0.772322640882551	0.627857088516485	0	0	0	1.62467317588085	1.7834501913513
cell109	11604	3089	KO	A	0.965184419165805	FALSE	0	1.40254850311924	-6.03319267612396	0	0	0.621528616471487	0	0	0	1.00193382860133	1.49224932260373
cell110	14888	3155	KO	A	0.933637829124127	TRUE	0	-0.237094927590603	-6.46181778293548	0	1.10361497910872	0.851587411200516	0	0	0	1.61543814472949	2.20388928513573
cell111	17815	4179	KO	A	1.02161100196464	TRUE	0	2.06168956680942	-4.57020668369232	0	0.987298598743707	0.987298598743707	0.752665050250193	0	0	2.59145226142652	0.445534644469457
cell112	40602	5559	KO	A	1.1280232500862	TRUE	0	3.32684917374301	-5.69889931064544	0	0.400510569352858	0	0	0	0	2.23793688323085	1.49247838864054
