	UMIs	Genes	Genotype	Batch	PercentMT	HasTCR	Cluster	UMAP_1	UMAP_2
cell236	22819	4013	KO	A	1.35413471230115	TRUE	0	3.27580280228305	-5.85188631397186
cell237	10637	2954	KO	A	1.77681677164614	TRUE	0	2.05504054947544	-4.62846712451873
cell238	35865	4963	KO	A	0.69148194618709	TRUE	0	3.23971862717319	-6.04232315402923
cell239	8995	2964	KO	A	1.41189549749861	TRUE	0	2.09542150421787	-4.58695701938568
cell240	19553	4236	WT	A	1.42689101416662	TRUE	0	0.296034526068454	-6.45933346134124
cell241	41585	5486	KO	A	1.03643140555489	TRUE	0	3.19126815720249	-6.3278551517099
cell242	18199	4027	KO	A	0.780262651794055	TRUE	0	2.42374582215	-5.08572391849456
cell243	19540	4025	KO	A	0.941658137154555	TRUE	0	1.53742618485141	-5.64211563449798
cell244	14723	3537	KO	A	1.0731508524078	TRUE	0	0.386519860464817	-5.85705475192962
cell245	27532	4532	KO	A	0.777277349992736	TRUE	0	1.92041273041416	-6.75795750003753
cell246	10256	2890	WT	A	1.33580343213729	TRUE	0	-0.294087458413357	-5.90106253009735
cell247	20887	4102	KO	A	0.847417053669747	TRUE	0	1.60817165299106	-5.98270277362762
cell248	5190	2065	WT	A	3.83429672447013	TRUE	0	0.0188014022891574	-5.97617344242034
cell249	16408	3742	KO	A	1.34080936128718	TRUE	0	1.52035970612217	-4.94250254016815
cell250	15539	3379	KO	A	1.26777784928245	TRUE	0	1.58049220963169	-5.64458612781463
cell251	14687	3586	KO	A	1.40940968203173	TRUE	0	0.453401517111545	-5.90633110385833
cell252	19690	4112	KO	B	1.11223971559167	TRUE	0	1.52889699860263	-6.1606655536264
cell253	28250	4648	KO	B	0.8	TRUE	0	1.90438671036411	-6.07075600009857
cell254	12817	3221	KO	B	1.57603183272217	TRUE	0	2.13634271546054	-5.11414961200653
cell255	8836	2824	KO	B	1.68628338614758	TRUE	0	1.44195909424472	-5.20865301471649
cell256	14119	3429	KO	B	1.23946455131383	TRUE	0	2.4253007881229	-5.58349756580291
cell257	26572	4319	KO	B	1.29459581514376	TRUE	0	4.18086452408481	-4.78449920993743
cell258	3214	1445	KO	B	0.684505289359054	TRUE	0	0.667846869665866	-6.46820072513519
